feature,importance_mean,importance_std
f16,0.07652228499686117,0.002995574483085596
f01,0.025155810639803024,0.002468424503734338
f07,0.020085373509102233,0.001937353272766023
f15,0.011857910102731083,0.0011433188221268897
f13,0.011809483952610056,0.001148824151020542
f12,0.011752089996910997,0.0011550402522107843
f29,0.0116516505744377,0.0018396971747333516
f30,0.011312906665072297,0.0011005866730076895
f08,0.01076937793321967,0.0012238740473439714
f18,0.010438525692762879,0.0013817966956158041
f34,0.009024761107623546,0.0009814498770156887
f23,0.007857033250630174,0.0012282389638620262
f19,0.007598840163811849,0.0013988798645786524
f05,0.007439292938351249,0.0009665253245880666
f09,0.006017118544425437,0.0008796558423956021
